FullName;Group;OldName;NewName;ID;Priority
clang-analyzer-cplusplus.PlacementNewChecker;clang-analyzer-cplusplus;PlacementNewChecker;Placement New Checker;CT_SA_CPNC;Major
clang-analyzer-cplusplus.SelfAssignment;clang-analyzer-cplusplus;SelfAssignment;Self Assignment;CT_SA_CSA;Major
clang-analyzer-deadcode.DeadStores;clang-analyzer-deadcode;DeadStores;Dead Stores;CT_SA_DDS;Major
clang-analyzer-nullability.NullPassedToNonnull;clang-analyzer-nullability;NullPassedToNonnull;Null Passed To Nonnull;CT_SA_NNPTN;Major
clang-analyzer-nullability.NullReturnedFromNonnull;clang-analyzer-nullability;NullReturnedFromNonnull;Null Returned From Nonnull;CT_SA_NNRFN;Major
clang-analyzer-nullability.NullableDereferenced;clang-analyzer-nullability;NullableDereferenced;Nullable Dereferenced;CT_SA_NND;Major
clang-analyzer-nullability.NullablePassedToNonnull;clang-analyzer-nullability;NullablePassedToNonnull;Nullable Passed To Nonnull;CT_SA_NNPTN_2;Major
clang-analyzer-nullability.NullableReturnedFromNonnull;clang-analyzer-nullability;NullableReturnedFromNonnull;Nullable Returned From Nonnull;CT_SA_NNRFN_2;Major
clang-analyzer-optin.cplusplus.UninitializedObject;clang-analyzer-optin.cplusplus;UninitializedObject;Uninitialized Object;CT_SA_OCUO;Major
clang-analyzer-optin.cplusplus.VirtualCall;clang-analyzer-optin.cplusplus;VirtualCall;Virtual Call;CT_SA_OCVC;Major
clang-analyzer-optin.mpi.MPI-Checker;clang-analyzer-optin.mpi;MPI-Checker;MPI-Checker;CT_SA_OMM;Major
clang-analyzer-optin.osx.cocoa.localizability.EmptyLocalizationContextChecker;clang-analyzer-optin.osx.cocoa.localizability;EmptyLocalizationContextChecker;Empty Localization Context Checker;CT_SA_OOCLELCC;Major
clang-analyzer-optin.osx.cocoa.localizability.NonLocalizedStringChecker;clang-analyzer-optin.osx.cocoa.localizability;NonLocalizedStringChecker;Non Localized String Checker;CT_SA_OOCLNLSC;Major
clang-analyzer-optin.performance.GCDAntipattern;clang-analyzer-optin.performance;GCDAntipattern;GCD Antipattern;CT_SA_OPGA;Major
clang-analyzer-optin.performance.Padding;clang-analyzer-optin.performance;Padding;Padding;CT_SA_OPP;Major
clang-analyzer-optin.portability.UnixAPI;clang-analyzer-optin.portability;UnixAPI;Unix API;CT_SA_OPUA;Major
clang-analyzer-security.FloatLoopCounter;clang-analyzer-security;FloatLoopCounter;Float Loop Counter;CT_SA_SFLC;Major
clang-analyzer-security.insecureAPI.UncheckedReturn;clang-analyzer-security.insecureAPI;UncheckedReturn;Unchecked Return;CT_SA_SIUR;Major
clang-analyzer-security.insecureAPI.bcmp;clang-analyzer-security.insecureAPI;bcmp;bcmp;CT_SA_SIB;Major
clang-analyzer-security.insecureAPI.bcopy;clang-analyzer-security.insecureAPI;bcopy;bcopy;CT_SA_SIB_2;Major
clang-analyzer-security.insecureAPI.bzero;clang-analyzer-security.insecureAPI;bzero;bzero;CT_SA_SIB_3;Major
clang-analyzer-security.insecureAPI.getpw;clang-analyzer-security.insecureAPI;getpw;getpw;CT_SA_SIG;Major
clang-analyzer-security.insecureAPI.gets;clang-analyzer-security.insecureAPI;gets;gets;CT_SA_SIG_2;Major
clang-analyzer-security.insecureAPI.mkstemp;clang-analyzer-security.insecureAPI;mkstemp;mkstemp;CT_SA_SIM;Major
clang-analyzer-security.insecureAPI.mktemp;clang-analyzer-security.insecureAPI;mktemp;mktemp;CT_SA_SIM_2;Major
clang-analyzer-security.insecureAPI.rand;clang-analyzer-security.insecureAPI;rand;rand;CT_SA_SIR;Major
clang-analyzer-security.insecureAPI.strcpy;clang-analyzer-security.insecureAPI;strcpy;strcpy;CT_SA_SIS;Major
clang-analyzer-security.insecureAPI.vfork;clang-analyzer-security.insecureAPI;vfork;vfork;CT_SA_SIV;Major
clang-analyzer-security.insecureAPI.DeprecatedOrUnsafeBufferHandling;clang-analyzer-security.insecureAPI;DeprecatedOrUnsafeBufferHandling;Deprecated Or Unsafe Buffer Handling;CT_SA_SIDOUBH;Major
clang-analyzer-unix.API;clang-analyzer-unix;API;API;CT_SA_UA;Major
clang-analyzer-unix.Malloc;clang-analyzer-unix;Malloc;Malloc;CT_SA_UM;Major
clang-analyzer-unix.MallocSizeof;clang-analyzer-unix;MallocSizeof;Malloc Sizeof;CT_SA_UMS;Major
clang-analyzer-unix.MismatchedDeallocator;clang-analyzer-unix;MismatchedDeallocator;Mismatched Deallocator;CT_SA_UMD;Major
clang-analyzer-unix.Vfork;clang-analyzer-unix;Vfork;Vfork;CT_SA_UV;Major
clang-analyzer-unix.cstring.BadSizeArg;clang-analyzer-unix.cstring;BadSizeArg;Bad Size Arg;CT_SA_UCBSA;Major
clang-analyzer-unix.cstrisng.NullArg;clang-analyzer-unix.cstrisng;NullArg;Null Arg;CT_SA_UCNA;Major
clang-analyzer-osx.API;clang-analyzer-osx;API;API;CT_SA_OA;Major
clang-analyzer-osx.NumberObjectConversion;clang-analyzer-osx;NumberObjectConversion;Number Object Conversion;CT_SA_ONOC;Major
clang-analyzer-osx.ObjCProperty;clang-analyzer-osx;ObjCProperty;Obj C Property;CT_SA_OOCP;Major
clang-analyzer-osx.SecKeychainAPI;clang-analyzer-osx;SecKeychainAPI;Sec Keychain API;CT_SA_OSKA;Major
clang-analyzer-osx.cocoa.AtSync;clang-analyzer-osx.cocoa;AtSync;At Sync;CT_SA_OCAS;Major
clang-analyzer-osx.cocoa.AutoreleaseWrite;clang-analyzer-osx.cocoa;AutoreleaseWrite;Autorelease Write;CT_SA_OCAW;Major
clang-analyzer-osx.cocoa.ClassRelease;clang-analyzer-osx.cocoa;ClassRelease;Class Release;CT_SA_OCCR;Major
clang-analyzer-osx.cocoa.Dealloc;clang-analyzer-osx.cocoa;Dealloc;Dealloc;CT_SA_OCD;Major
clang-analyzer-osx.cocoa.IncompatibleMethodTypes;clang-analyzer-osx.cocoa;IncompatibleMethodTypes;Incompatible Method Types;CT_SA_OCIMT;Major
clang-analyzer-osx.cocoa.Loops;clang-analyzer-osx.cocoa;Loops;Loops;CT_SA_OCL;Major
clang-analyzer-osx.cocoa.MissingSuperCall;clang-analyzer-osx.cocoa;MissingSuperCall;Missing Super Call;CT_SA_OCMSC;Major
clang-analyzer-osx.cocoa.NSAutoreleasePool;clang-analyzer-osx.cocoa;NSAutoreleasePool;NS Autorelease Pool;CT_SA_OCNAP;Major
clang-analyzer-osx.cocoa.NSError;clang-analyzer-osx.cocoa;NSError;NS Error;CT_SA_OCNE;Major
clang-analyzer-osx.cocoa.NilArg;clang-analyzer-osx.cocoa;NilArg;Nil Arg;CT_SA_OCNA;Major
clang-analyzer-osx.cocoa.NonNilReturnValue;clang-analyzer-osx.cocoa;NonNilReturnValue;Non Nil Return Value;CT_SA_OCNNRV;Major
clang-analyzer-osx.cocoa.ObjCGenerics;clang-analyzer-osx.cocoa;ObjCGenerics;Obj C Generics;CT_SA_OCOCG;Major
clang-analyzer-osx.cocoa.RetainCount;clang-analyzer-osx.cocoa;RetainCount;Retain Count;CT_SA_OCRC;Major
clang-analyzer-osx.cocoa.RunLoopAutoreleaseLeak;clang-analyzer-osx.cocoa;RunLoopAutoreleaseLeak;Run Loop Autorelease Leak;CT_SA_OCRLAL;Major
clang-analyzer-osx.cocoa.SelfInit;clang-analyzer-osx.cocoa;SelfInit;Self Init;CT_SA_OCSI;Major
clang-analyzer-osx.cocoa.SuperDealloc;clang-analyzer-osx.cocoa;SuperDealloc;Super Dealloc;CT_SA_OCSD;Major
clang-analyzer-osx.cocoa.UnusedIvars;clang-analyzer-osx.cocoa;UnusedIvars;Unused Ivars;CT_SA_OCUI;Major
clang-analyzer-osx.cocoa.VariadicMethodTypes;clang-analyzer-osx.cocoa;VariadicMethodTypes;Variadic Method Types;CT_SA_OCVMT;Major
clang-analyzer-osx.coreFoundation.CFError;clang-analyzer-osx.coreFoundation;CFError;CF Error;CT_SA_OCCE;Major
clang-analyzer-osx.coreFoundation.CFNumber;clang-analyzer-osx.coreFoundation;CFNumber;CF Number;CT_SA_OCCN;Major
clang-analyzer-osx.coreFoundation.CFRetainRelease;clang-analyzer-osx.coreFoundation;CFRetainRelease;CF Retain Release;CT_SA_OCCRR;Major
clang-analyzer-osx.coreFoundation.containers.OutOfBounds;clang-analyzer-osx.coreFoundation.containers;OutOfBounds;Out Of Bounds;CT_SA_OCCOOB;Major
clang-analyzer-osx.coreFoundation.containers.PointerSizedValues;clang-analyzer-osx.coreFoundation.containers;PointerSizedValues;Pointer Sized Values;CT_SA_OCCPSV;Major
clang-analyzer-fuchsia.HandleChecker;clang-analyzer-fuchsia;HandleChecker;Handle Checker;CT_SA_FHC;Major
clang-analyzer-webkit.RefCntblBaseVirtualDtor;clang-analyzer-webkit;RefCntblBaseVirtualDtor;Ref Cntbl Base Virtual Dtor;CT_SA_WRCBVD;Major
clang-analyzer-webkit.NoUncountedMemberChecker;clang-analyzer-webkit;NoUncountedMemberChecker;No Uncounted Member Checker;CT_SA_WNUMC;Major
clang-analyzer-webkit.UncountedLambdaCapturesChecker;clang-analyzer-webkit;UncountedLambdaCapturesChecker;Uncounted Lambda Captures Checker;CT_SA_WULCC;Major
