ID;Name;Enabled;Priority
FLMUB;ForLoopsMustUseBraces;0;Minor
FLSBWL;ForLoopShouldBeWhileLoop;1;Minor
FLVC;ForLoopVariableCount;1;Minor
FNC;FieldNamingConventions;0;Minor
FO;FinalizeOverloaded;1;Critical
FOCSF;FinalizeOnlyCallsSuperFinalize;1;Minor
FPNC;FormalParameterNamingConventions;0;Minor
FSBP;FinalizeShouldBeProtected;1;Critical
GC;GodClass;0;Minor
GLS;GuardLogStatement;1;Minor
GN;GenericsNaming;1;Minor
HCCK;HardCodedCryptoKey;1;Critical
ICB;IdenticalCatchBranches;1;Minor
ICI;InsecureCryptoIv;1;Critical
IESC;InefficientEmptyStringCheck;0;Minor
IESMUB;IfElseStmtsMustUseBraces;0;Minor
IF;ImmutableField;1;Minor
IFSP;ImportFromSamePackage;1;Minor
II;IntegerInstantiation;0;Minor
ILMF;InvalidLogMessageFormat;1;Minor
IO;IdempotentOperations;1;Major
IS4MF;InvalidSlf4jMessageFormat;0;Minor
ISB;InefficientStringBuffering;1;Minor
ISBD;InsufficientStringBufferDeclaration;0;Minor
ISMUB;IfStmtsMustUseBraces;0;Minor
ITGC;InstantiationToGetClass;1;Major
JI;JumbledIncrementer;1;Critical
JU4SSUSA;JUnit4SuitesShouldUseSuiteAnnotation;0;Minor
JU4TSUAA;JUnit4TestShouldUseAfterAnnotation;0;Minor
JU4TSUBA;JUnit4TestShouldUseBeforeAnnotation;0;Minor
JU4TSUTA;JUnit4TestShouldUseTestAnnotation;0;Minor
JUASIM;JUnitAssertionsShouldIncludeMessage;1;Minor
JUS;JUnitSpelling;1;Critical
JUSS;JUnitStaticSuite;1;Critical
JUTCTMA;JUnitTestContainsTooManyAsserts;1;Minor
JUTSIA;JUnitTestsShouldIncludeAssert;1;Major
JUUE;JUnitUseExpected;0;Minor
LFIC;LiteralsFirstInComparisons;1;Critical
LHNC;LocalHomeNamingConvention;1;Major
LI;LogicInversion;1;Minor
LINSF;LoggerIsNotStaticFinal;1;Minor
LISNC;LocalInterfaceSessionNamingConvention;1;Major
LN;LinguisticNaming;0;Minor
LOD;LawOfDemeter;0;Minor
LPC;LoosePackageCoupling;0;Minor
LV;LongVariable;0;Minor
LVCBF;LocalVariableCouldBeFinal;0;Minor
LVNC;LocalVariableNamingConventions;0;Minor
LoC;LooseCoupling;1;Major
LoI;LongInstantiation;0;Minor
MACBF;MethodArgumentCouldBeFinal;0;Minor
MBIS;MissingBreakInSwitch;1;Critical
MCC;ModifiedCyclomaticComplexity;0;Minor
MDBASBNC;MDBAndSessionBeanNamingConvention;1;Major
MNC;MisplacedNullCheck;1;Critical
MO;MissingOverride;1;Minor
MRIA;MethodReturnsInternalArray;1;Major
MSMINIC;MissingStaticMethodInNonInstantiatableClass;1;Minor
MSVUID;MissingSerialVersionUID;1;Major
MTOL;MoreThanOneLogger;1;Major
MVN;MIsLeadingVariableName;0;Minor
MWSNAEC;MethodWithSameNameAsEnclosingClass;1;Minor
MeNC;MethodNamingConventions;0;Minor
NA;NullAssignment;0;Minor
NCC;NcssConstructorCount;0;Minor
NCLISS;NonCaseLabelInSwitchStatement;1;Critical
NCo;NcssCount;0;Minor
NMC;NcssMethodCount;0;Minor
NP;NoPackage;1;Minor
NPC;NPathComplexity;0;Minor
NSI;NonStaticInitializer;1;Critical
NTC;NcssTypeCount;0;Minor
NTSS;NonThreadSafeSingleton;1;Critical
OBEAH;OverrideBothEqualsAndHashcode;1;Critical
ODPL;OneDeclarationPerLine;1;Minor
OOR;OnlyOneReturn;0;Minor
OTAC;OptimizableToArrayCall;1;Major
PC;PackageCase;1;Minor
PCI;ProperCloneImplementation;1;Critical
PD;PrematureDeclaration;0;Minor
PL;ProperLogger;1;Minor
PLFIC;PositionLiteralsFirstInComparisons;0;Critical
PLFICIC;PositionLiteralsFirstInCaseInsensitiveComparisons;0;Critical
PST;PreserveStackTrace;1;Major
REARTN;ReturnEmptyArrayRatherThanNull;1;Major
REWI;ReplaceEnumerationWithIterator;0;Minor
RFFB;ReturnFromFinallyBlock;1;Critical
RFI;RedundantFieldInitializer;1;Minor
RHWM;ReplaceHashtableWithMap;0;Minor
RINC;RemoteInterfaceNamingConvention;1;Major
RSINC;RemoteSessionInterfaceNamingConvention;1;Major
RVWL;ReplaceVectorWithList;0;Minor
SBA;SimplifyBooleanAssertion;1;Minor
SBE;SimplifyBooleanExpressions;1;Minor
SBIWC;StringBufferInstantiationWithChar;1;Critical
SBR;SimplifyBooleanReturns;1;Minor
SC;SimplifyConditional;1;Minor
SCC;StdCyclomaticComplexity;0;Minor
SCFN;SuspiciousConstantFieldName;1;Minor
SCN;ShortClassName;1;Minor
SCRNI;SingletonClassReturningNewInstance;1;Major
SD;SwitchDensity;0;Minor
SDFNL;SimpleDateFormatNeedsLocale;1;Minor
SEJBFSBF;StaticEJBFieldShouldBeFinal;1;Critical
SEMN;SuspiciousEqualsMethodName;1;Critical
SF;SingularField;1;Major
SHMN;SuspiciousHashcodeMethodName;1;Critical
SI;ShortInstantiation;0;Minor
SMN;ShortMethodName;1;Minor
SMS;SingleMethodSingleton;1;Major
SOE;SuspiciousOctalEscape;1;Major
SP;SystemPrintln;1;Major
SSSHD;SwitchStmtsShouldHaveDefault;1;Major
SSW;SimplifyStartsWith;0;Minor
ST;SimplifiedTernary;1;Minor
STS;StringToString;1;Minor
SV;ShortVariable;0;Minor
SiDTE;SignatureDeclareThrowsException;1;Major
StI;StringInstantiation;1;Minor
TCWTC;TestClassWithoutTestCases;1;Minor
TFBFASS;TooFewBranchesForASwitchStatement;1;Minor
TMF;TooManyFields;0;Minor
TMM;TooManyMethods;0;Minor
TMSI;TooManyStaticImports;1;Major
UA;UnusedAssignment;1;Minor
UAAL;UseArraysAsList;1;Major
UAEIOAT;UseAssertEqualsInsteadOfAssertTrue;1;Major
UALIOV;UseArrayListInsteadOfVector;1;Minor
UANIOAT;UseAssertNullInsteadOfAssertTrue;1;Minor
UASIOAT;UseAssertSameInsteadOfAssertTrue;1;Minor
UATIOAE;UseAssertTrueInsteadOfAssertEquals;1;Minor
UAVE;UnnecessaryAnnotationValueElement;1;Minor
UBA;UnnecessaryBooleanAssertion;1;Minor
UC;UnnecessaryConstructor;1;Minor
UCC;UnnecessaryCaseChange;1;Minor
UCEL;UseCorrectExceptionLogging;1;Major
UCHM;UseConcurrentHashMap;0;Minor
UCIE;UseCollectionIsEmpty;1;Major
UCT;UnnecessaryConversionTemporary;1;Minor
UDO;UseDiamondOperator;1;Minor
UEC;UncommentedEmptyConstructor;1;Minor
UEM;UncommentedEmptyMethodBody;1;Minor
UETCS;UseEqualsToCompareStrings;1;Critical
UFP;UnusedFormalParameter;0;Minor
UFQN;UnnecessaryFullyQualifiedName;1;Minor
UIOC;UseIndexOfChar;0;Minor
UIOSWACFI;UseIOStreamsWithApacheCommonsFileItem;1;Major
UIS;UnconditionalIfStatement;1;Major
ULBR;UnnecessaryLocalBeforeReturn;1;Minor
ULV;UnusedLocalVariable;1;Major
ULWCC;UseLocaleWithCaseConversions;1;Critical
UNAION;UseNotifyAllInsteadOfNotify;1;Critical
UNCIE;UnusedNullCheckInEquals;1;Critical
UOFCAPI;UseObjectForClearerAPI;0;Minor
UOM;UselessOverridingMethod;1;Minor
UOOI;UselessOperationOnImmutable;1;Critical
UPCL;UseProperClassLoader;0;Minor
UPF;UnusedPrivateField;1;Major
UPM;UnusedPrivateMethod;1;Major
UQT;UselessQualifiedThis;1;Minor
UR;UnnecessaryReturn;0;Minor
USAI;UseShortArrayInitializer;1;Minor
USBFSA;UseStringBufferForStringAppends;1;Major
USBL;UseStringBufferLength;0;Minor
USDF;UnsynchronizedStaticDateFormatter;1;Critical
USF;UnsynchronizedStaticFormatter;1;Minor
USVO;UselessStringValueOf;0;Minor
UTWR;UseTryWithResources;1;Minor
UUC;UseUtilityClass;0;Minor
UUINL;UseUnderscoresInNumericLiterals;1;Minor
UV;UseVarargs;1;Minor
UWOC;UnnecessaryWrapperObjectCreation;1;Major
UnC;UnnecessaryCast;1;Minor
UnI;UnusedImports;1;Minor
UnM;UnnecessaryModifier;1;Minor
UsP;UselessParentheses;0;Minor
VNC;VariableNamingConventions;0;Minor
WLMUB;WhileLoopsMustUseBraces;0;Minor
WLWLB;WhileLoopWithLiteralBoolean;1;Minor
